Resolver IP,Last Event Date,Attempted Rankings,Successful Rankings,Top 10 Count,Top 25 Count,Top 50 Count,Top 75 Count,Top 100 Count,Top 200 Count
24.244.175.2,4/11/2019,684287,24726,1096,4477,3939,2207,2010,10997
24.244.175.133,4/8/2019,684287,2064,120,172,271,250,253,998
24.247.15.53,4/12/2019,684287,15911,1385,951,1851,1389,1098,9237
24.247.24.53,4/12/2019,684287,14656,1056,524,1372,1722,1233,8749
35.8.2.45,4/10/2019,684287,60213,330,1180,5673,7382,8494,37154
35.9.20.10,4/5/2019,684287,21072,200,517,1956,3650,3930,10819
35.9.20.31,4/11/2019,684287,19451,215,516,2105,3672,3340,9603
38.96.4.10,4/8/2019,684287,1941,91,155,231,240,221,1003
38.100.136.136,4/10/2019,684287,1990,109,147,225,261,269,979
38.102.194.214,4/11/2019,684287,80951,1669,5041,11727,13488,12647,36379
38.116.192.11,4/8/2019,684287,6003,285,299,444,575,611,3789
38.119.98.220,4/12/2019,684287,92575,2239,4866,12124,13530,12733,47083
38.218.181.11,4/11/2019,684287,17869,146,383,952,2206,3151,11031
41.157.9.4,4/11/2019,684287,2328,147,278,272,294,234,1103
41.157.9.5,4/11/2019,684287,2283,141,251,249,266,273,1103
41.160.0.36,4/7/2019,684287,2388,330,207,261,260,279,1051
41.160.0.37,4/10/2019,684287,3035,324,223,346,352,351,1439
41.204.224.2,4/10/2019,684287,43387,467,1386,4881,6574,7798,22281
41.204.224.22,4/11/2019,684287,1901,101,132,193,240,231,1004
41.204.224.131,4/11/2019,684287,56260,520,1843,6742,9164,10141,27850
41.207.160.45,4/10/2019,684287,1873,90,141,234,220,239,949
41.207.177.17,4/10/2019,684287,1942,90,146,249,236,226,995
41.211.233.10,4/10/2019,684287,5229,138,222,437,481,562,3389
41.221.20.4,4/12/2019,684287,2767,827,165,265,251,262,997
43.224.255.1,4/11/2019,684287,1919,79,152,256,235,255,942
57.67.127.195,4/11/2019,684287,2013,91,130,276,250,241,1025
57.73.127.195,4/8/2019,684287,1960,96,155,251,246,239,973
58.6.115.42,4/10/2019,684287,3774,163,195,372,1197,550,1297
58.20.57.4,4/11/2019,684287,1924,96,141,249,243,223,972
58.20.127.170,4/12/2019,684287,12302,508,1924,1794,1603,1068,5405
58.22.96.66,4/8/2019,684287,2034,113,164,235,265,245,1012
58.28.4.2,4/9/2019,684287,2084,115,149,235,263,260,1062
58.28.6.2,4/11/2019,684287,2023,126,156,250,270,269,952
58.64.124.150,4/10/2019,684287,12894,1493,1578,2277,2054,1512,3980
58.69.254.3,4/11/2019,684287,2070,213,143,256,233,257,968
58.69.254.8,4/11/2019,684287,2107,225,135,224,251,253,1019
58.147.79.9,4/11/2019,684287,3131,303,270,518,406,348,1286
59.185.0.23,4/11/2019,684287,2229,323,135,251,219,242,1059
59.185.0.50,4/11/2019,684287,2287,349,153,254,247,256,1028
59.185.3.10,4/8/2019,684287,2377,364,159,261,227,259,1107
59.185.3.12,4/11/2019,684287,2288,374,156,242,259,251,1006
60.191.134.206,4/8/2019,684287,2189,207,145,262,268,281,1026
60.191.244.2,4/11/2019,684287,2406,219,159,310,282,279,1157
60.191.244.5,4/11/2019,684287,2382,221,166,291,273,264,1167
